2019-07-01 09:30:00,582 -  Chartered_API.common.http_method - ERROR - UN-support method - [http_method.py:44 ]
2019-07-01 16:30:30,572 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701708', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': '2019-07-01 16:30:30'} - [http_method.py:34 ]
2019-07-01 16:30:30,628 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:30,821 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:30,821 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701481', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': 'tester', 'payTime': '2019-07-01 16:30:30'} - [http_method.py:34 ]
2019-07-01 16:30:30,865 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:31,060 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:31,060 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701127', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': 31, 'payTime': '2019-07-01 16:30:31'} - [http_method.py:34 ]
2019-07-01 16:30:31,111 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:31,339 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:31,339 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701851', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '%&张$', 'payTime': '2019-07-01 16:30:31'} - [http_method.py:34 ]
2019-07-01 16:30:31,390 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:31,605 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:31,606 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701762', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '屈二', 'payTime': ''} - [http_method.py:34 ]
2019-07-01 16:30:31,670 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:31,901 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:31,901 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701306', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '金八', 'payTime': '2019-06-05'} - [http_method.py:34 ]
2019-07-01 16:30:31,907 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-01 16:30:31,909 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:31,909 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701346', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '张三', 'payTime': '0000-00-00 00:00:00'} - [http_method.py:34 ]
2019-07-01 16:30:31,956 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:32,235 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:32,235 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701069', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '董四', 'payTime': '2019年6月30日'} - [http_method.py:34 ]
2019-07-01 16:30:32,257 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-01 16:30:32,258 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:32,258 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '王大', 'payTime': '2019-07-01 16:30:32'} - [http_method.py:34 ]
2019-07-01 16:30:32,334 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:32,640 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:32,640 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701318', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '舒六', 'payTime': '2019-07-01 16:30:32'} - [http_method.py:34 ]
2019-07-01 16:30:32,687 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:32,975 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:32,975 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701043', 'payType': 1, 'amount': '', 'costType': 1, 'name': '金三', 'payTime': '2019-07-01 16:30:32'} - [http_method.py:34 ]
2019-07-01 16:30:33,041 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:33,351 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:33,351 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701460', 'payType': 1, 'amount': 500.5, 'costType': '', 'name': '张九', 'payTime': '2019-07-01 16:30:33'} - [http_method.py:34 ]
2019-07-01 16:30:33,415 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:33,757 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:33,757 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701307', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': '2019-07-01 16:30:33'} - [http_method.py:34 ]
2019-07-01 16:30:33,838 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:34,213 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:34,213 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701576', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '董三', 'payTime': ''} - [http_method.py:34 ]
2019-07-01 16:30:34,267 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:34,668 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:34,668 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '梁四', 'payTime': '2019-07-01 16:30:34'} - [http_method.py:34 ]
2019-07-01 16:30:34,727 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:35,258 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:35,258 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': '', 'costType': 1, 'name': '项二', 'payTime': '2019-07-01 16:30:35'} - [http_method.py:34 ]
2019-07-01 16:30:35,319 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:36,096 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:36,097 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': '2019-07-01 16:30:36'} - [http_method.py:34 ]
2019-07-01 16:30:36,145 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:36,806 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:36,807 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '梁三', 'payTime': ''} - [http_method.py:34 ]
2019-07-01 16:30:36,847 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:37,561 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:37,561 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '董九', 'payTime': '2019-07-01 16:30:37'} - [http_method.py:34 ]
2019-07-01 16:30:37,619 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:38,288 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:38,289 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701256', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '熊六', 'payTime': '2019-07-01 16:30:38'} - [http_method.py:34 ]
2019-07-01 16:30:38,349 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:39,110 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:39,111 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701947', 'payType': '', 'amount': 500.5, 'costType': '', 'name': '屈六', 'payTime': '2019-07-01 16:30:39'} - [http_method.py:34 ]
2019-07-01 16:30:39,157 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:39,917 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:39,917 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701715', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': '2019-07-01 16:30:39'} - [http_method.py:34 ]
2019-07-01 16:30:39,973 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:40,704 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:40,704 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701940', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '董七', 'payTime': ''} - [http_method.py:34 ]
2019-07-01 16:30:40,774 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:41,645 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:41,646 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701450', 'payType': 1, 'amount': '', 'costType': 1, 'name': '项八', 'payTime': '2019-07-01 16:30:41'} - [http_method.py:34 ]
2019-07-01 16:30:41,694 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:42,525 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:42,526 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701230', 'payType': 1, 'amount': '', 'costType': 1, 'name': '', 'payTime': '2019-07-01 16:30:42'} - [http_method.py:34 ]
2019-07-01 16:30:42,584 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:43,650 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:43,650 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701841', 'payType': 1, 'amount': '', 'costType': 1, 'name': '纪四', 'payTime': ''} - [http_method.py:34 ]
2019-07-01 16:30:43,821 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:44,590 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:44,591 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701185', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': ''} - [http_method.py:34 ]
2019-07-01 16:30:44,645 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:45,425 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:45,425 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': '', 'costType': '', 'name': '赵五', 'payTime': '2019-07-01 16:30:45'} - [http_method.py:34 ]
